# rack,u,fonction,port
s1d06,1,ru,1
S1D06,2,RU,2
s1d06,3,ru,3
s1d06,4,ru,4
s1d06,5,ru,5
s1d06,6,ru,6
s1d06,7,ru,7
s1d06,8,ru,8
#s1d06,9,pdu,
s1d06,10,ru,9
s1d06,11,ru,10
s1d06,12,ru,11
s1d06,13,ru,12
s1d06,14,ru,13
s1d06,15,ru,14
s1d06,16,ru,15
s1d06,17,ru,16
#s1d06,18,pdu,
s1d06,19,ru,17
s1d06,20,ru,18
s1d06,21,ru,19
s1d06,22,ru,20
s1d06,23,ru,21
s1d06,24,ru,22
s1d06,25,ru,23
s1d06,26,ru,24
#s1d06,27,pdu,
s1d06,28,ru,25
s1d06,29,ru,26
s1d06,30,ru,27
s1d06,31,ru,28
s1d06,32,ru,29
s1d06,33,ru,30
s1d06,34,ru,31
s1d06,35,ru,32
#s1d06,36,pdu,
#s1d06,37,pdu,

c2b12,29,vmepc,22

c2d47,11,spare,4
